oid,NZGD ID,NZTM Easting,NZTM Northing,year
CPT-CBD-101P,496.0,1570619.57,5179180.59,2011
CPT-CBD-105,500.0,1571529.95,5179127.4,2011
CPT-CBD-106,502.0,1571826.82,5179057.72,2011
CPT-CBD-107,2059.0,1568982.51,5179005.48,2011
CPT-CBD-108,1012.0,1569436.36,5178977.77,2011
CPT-CBD-109,1013.0,1569961.07,5179026.1,2011
CPT-CBD-113,1017.0,1570959.43,5178996.84,2011
CPT-CBD-116,1020.0,1569130.28,5178827.55,2011
CPT-CBD-117,1021.0,1569474.84,5178876.41,2011
CPT-CBD-118,1022.0,1569574.89,5178889.54,2011
CPT-CBD-119,1023.0,1569846.81,5178884.05,2011
CPT-CBD-122,1028.0,1570660.78,5178889.04,2011
CPT-CBD-123,1029.0,1570922.33,5178859.17,2011
CPT-CBD-125,1031.0,1571451.07,5178818.12,2011
CPT-CBD-128,1034.0,1570371.1,5178612.76,2011
CPT-CBD-129,1035.0,1570731.77,5178612.98,2011
CPT-CBD-130,1036.0,1570827.07,5178581.83,2011
CPT-CBD-131,1037.0,1571163.11,5178640.75,2011
CPT-CBD-135,1041.0,1570662.57,5178386.98,2011
CPT-CBD-136,1042.0,1570827.08,5178342.44,2011
CPT-CBD-137,1043.0,1571121.26,5178287.22,2011
CPT-CBD-138,1044.0,1571449.22,5178351.17,2011
CPT-CBD-141,14453.0,1572725.0,5175980.0,2011
CPT-CBD-142,1048.0,1571919.85,5178791.62,2011
CPT-CBD-144,1050.0,1572285.16,5179150.35,2011
CPT-CBD-145,1051.0,1572072.34,5179356.86,2011
CPT-CBD-146,1052.0,1572271.6,5179379.09,2011
CPT-CBD-148,1054.0,1572292.23,5179451.98,2011
CPT-CBD-18,393.0,1571810.29,5180970.86,2011
CPT-CBD-21,396.0,1570375.61,5180888.53,2011
CPT-CBD-22,397.0,1570614.23,5180868.39,2011
CPT-CBD-25,401.0,1571381.08,5180915.98,2011
CPT-CBD-29,406.0,1570144.46,5180628.78,2011
CPT-CBD-32,409.0,1570908.85,5180654.25,2011
CPT-CBD-36,414.0,1571777.36,5180592.97,2011
CPT-CBD-37P,416.0,1569919.0,5180455.51,2011
CPT-CBD-42,423.0,1571138.47,5180416.94,2011
CPT-CBD-43,424.0,1571319.68,5180410.99,2011
CPT-CBD-45,426.0,1571607.2,5180398.89,2011
CPT-CBD-46,427.0,1571779.0,5180360.86,2011
CPT-CBD-47,428.0,1569897.01,5180217.58,2011
CPT-CBD-51,436.0,1570866.45,5180171.98,2011
CPT-CBD-53,438.0,1571344.07,5180155.24,2011
CPT-CBD-54,439.0,1571433.06,5180170.26,2011
CPT-CBD-55,440.0,1571779.25,5180195.5,2011
CPT-CBD-61,448.0,1571136.95,5180054.25,2011
CPT-CBD-65,452.0,1569888.41,5179752.55,2011
CPT-CBD-70,458.0,1571111.09,5179787.78,2011
CPT-CBD-74,462.0,1569968.22,5179539.86,2011
CPT-CBD-79,471.0,1571177.68,5179535.04,2011
